YEAR;DOY;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;WS2M;T2M_MAX;T2M_MIN
2021;244;20,01;25,93;0;55,31;0,08;35,76;24,11
2021;245;23,17;26,47;0;52,56;0,11;37,83;24,42
2021;246;20,66;26,99;0,03;52,44;0,11;35,93;26,87
2021;247;20,26;26,55;0,01;57,06;0,09;35,51;26,41
2021;248;18,52;26,3;0,03;59,56;0,09;34,46;24,55
2021;249;16,49;25,79;0,03;56;0,08;34,86;23,96
2021;250;16,22;26;0;51,81;0,08;35,99;24,29
2021;251;18,98;26,2;0;57,5;0,1;36,37;25,65
2021;252;20,64;26,39;0;56,5;0,1;36,12;24,67
2021;253;20,55;25,64;0;58,81;0,09;36,67;24,92
2021;254;15,56;25,69;0,24;54,38;0,08;36,48;23,39
2021;255;18,21;26,65;0,02;53,31;0,11;36,97;24,22
2021;256;22,27;26,42;0,03;52,12;0,09;37,11;25,28
2021;257;22,45;26,69;0,08;60,31;0,09;34,09;25,18
2021;258;21,68;26,61;0;60,44;0,08;34,63;25,02
2021;259;21,51;26,58;0;50,12;0,09;37,98;24,41
2021;260;23,22;26,95;0,1;43,94;0,1;39,15;26,57
2021;261;21,55;26,37;0,08;55,88;0,1;37,05;24,94
2021;262;18,43;26,11;0,02;57,44;0,07;36,05;24,44
2021;263;21,26;26,22;0,01;60,62;0,09;33,58;24,87
2021;264;18,69;26,32;0;53,5;0,06;38,02;23,97
2021;265;18,35;26,08;2,3;66,19;0,08;33,72;24,9
2021;266;18,8;26,21;2,41;64,94;0,11;35,73;23,53
2021;267;18,15;25,99;0,26;64,88;0,09;35,55;23,4
2021;268;21,7;26,53;0;59,56;0,09;37,23;24,21
2021;269;24,05;26,21;0;51,62;0,09;38,26;24,23
2021;270;22;25,76;0;56;0,08;35,44;25,94
2021;271;15,24;26,06;0;63;0,08;33,19;24,53
2021;272;18,94;26,03;0;66,81;0,1;29,93;24,44
2021;273;16,13;25,55;0;59,5;0,09;33,73;23,98
2021;274;21,18;25,7;0;58;0,1;34,13;24,57
2021;275;22,64;26,27;0;58,19;0,12;35,91;24,35
2021;276;22,46;25,51;0,14;61,5;0,08;33,46;24,56
2021;277;20,15;25,7;0,11;63,56;0,1;34,97;24,83
2021;278;17,67;26,2;0;67,44;0,07;31,18;24,74
2021;279;14,21;24,64;0,17;56,81;0,1;37,68;24,36
2021;280;19,83;25,25;0,02;62,56;0,09;36,31;24,71
2021;281;16,41;25,46;0,43;66;0,09;32,08;25,12
2021;282;18,6;25,77;7,92;81,62;0,09;29,01;23,69
2021;283;18,33;26,02;4,18;82,38;0,11;29,83;23,21
2021;284;13,96;25,39;1,74;82,44;0,09;29,68;23,05
2021;285;17,36;24,74;0,59;73;0,1;33,38;23,33
2021;286;17,5;25,61;0,07;72,75;0,1;30,39;24,19
2021;287;19,27;25,81;0,08;67,81;0,09;33,78;23,17
2021;288;23,91;25,51;0,93;65,5;0,09;35,44;23,67
2021;289;18,54;25,58;1,19;73,75;0,1;31,81;24,51
2021;290;19,72;25,41;1,33;70,81;0,08;32,83;23,98
2021;291;20,54;25,32;0,85;76,06;0,1;30,44;23,4
2021;292;19,87;25,23;0,03;62,75;0,09;35,4;23,4
2021;293;17,18;24,95;0,04;60,25;0,11;35,61;24
2021;294;20,89;25,89;0;72,25;0,11;30,78;22,97
2021;295;18;25,27;0;58,44;0,11;35,57;22,17
2021;296;19,64;25,31;0;62,44;0,12;33,94;24,76
2021;297;18,99;24,89;2,27;65,06;0,11;34,02;23,97
2021;298;17,78;24,74;2,51;70,44;0,11;33,69;23,53
2021;299;18,53;25,05;0,54;73,12;0,11;31,42;24,23
2021;300;13,42;23,73;0;72,75;0,08;29,62;23,8
2021;301;18,25;22,44;0,02;65,81;0,11;31,97;23,02
2021;302;16,04;24,34;0,22;71,19;0,09;29,32;24,11
2021;303;12,59;24,39;0,06;60,94;0,11;34,7;22,68
2021;304;17,06;25,03;0;55,75;0,1;34,65;24,12
2021;305;20,75;25,15;0,04;53,5;0,09;35,26;24,03
2021;306;18,56;24,62;0,02;55,44;0,09;35,4;23,47
2021;307;17,54;24,76;0;59;0,09;33,66;24,05
2021;308;16,73;23,76;0;60,5;0,08;32,91;24,38
2021;309;17,9;24,48;0,03;61;0,13;34,22;24,44
2021;310;20,66;24,72;0,08;61,56;0,09;34,73;24,3
2021;311;18;23,78;0,03;60,88;0,11;34,98;25,18
2021;312;17,45;23,92;0;64,5;0,1;32,21;25,23
2021;313;17,66;24,12;0;64,75;0,1;32,76;24,71
2021;314;18,01;24,71;0;62,19;0,11;32,92;24,56
2021;315;22,43;25,05;0;51;0,16;37,3;24,62
